FRANCE GENERAL,#genre#
RMC SPORT 9,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56588
RMC SPORT 10,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56587
RMC SPORT 11,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56586
RMC SPORT 12,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56585
CANAL + SPORT,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56569
CANAL+ FOOT,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/311117
CANAL+ 360,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/311208
CANAL+ MOTOGP,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/203877
CANAL+ PREMIER LEAGUE,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/203880
CANAL+ FORMULE 1,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/203878
CANAL+ TOP 14 RUGBY,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/203879
BEIN SPORTS 1,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56580
BEIN SPORTS 2,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56579
BEIN SPORTS 3,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56578
INFO SPORT ,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56566
EUROSPORT 1,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56577
EUROSPORT 2,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56576
MULTI SPORTS 1,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56575
MULTI SPORTS 2,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56574
MULTI SPORTS 3,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56573
MULTI SPORTS 4,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56572
MULTI SPORTS 5,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56571
MULTI SPORTS 6,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/56570
TRACE SPORT STARS,http://sinotv-la.com:80/94DF8078606F/92752FCD2533/231644
